date,gross_trades_value,stock_PL,option_PL,net_PL,cash,position_value
2020-11-09,1213916.76512,-943905.0765457887,1864514.0,920608.9234542103,8109165.4291762095,10928265.162936209
2020-11-10,186160.12621200015,-955783.3427217887,1882978.0,927194.6572782103,8728861.16703621,10952159.04351621
2020-11-11,872849.7586260001,-960283.6083467887,1892428.0,932144.3916532103,8342028.67558521,10967326.51607621
2020-11-12,1108410.3433179997,-974100.8216007887,1909588.0,935487.1783992102,9886934.38277921,10957384.492418211
2020-11-13,1562654.6070300003,-982918.6234757889,1919838.0,936919.3765242101,8834789.30699921,10959549.172569212
2020-11-16,1639639.214587,-982918.6234757889,1919838.0,936919.3765242101,7263966.092412209,10970374.00632821
2020-11-17,710370.7153220002,-982918.6234757889,1919838.0,936919.3765242101,7974336.80773421,10972176.39366821
2020-11-18,1705715.1189479998,-982918.6234757889,1919838.0,936919.3765242101,9680051.92668221,10978142.05613021
2020-11-19,751181.7216959998,-982918.6234757889,1919838.0,936919.3765242101,8928870.20498621,10992781.09103021
2020-11-20,1040282.1232309998,-982918.6234757889,1919838.0,936919.3765242101,9969152.32821721,10997896.83752021
2020-11-23,1203000.4237419998,-982918.6234757889,1919838.0,936919.3765242101,8766151.90447521,11029985.700703211
2020-11-24,2479599.6669040006,-954666.6358747886,1903569.0,948902.3641252103,7109646.350841209,11005998.10787121
2020-11-25,516649.19981400034,-941080.9469527884,1914099.0,973018.0530472106,8529814.14231921,11022205.26143121
